hdate,hwind,hpres,hyear
18510625,80,800,1851
18510626,70,800,1851
18510627,50,800,1851
18510628,40,800,1851
18510705,80,800,1851
18510710,50,800,1851
18510816,50,800,1851
18510817,70,800,1851
18510818,90,800,1851
18510819,90,800,1851
18510820,70,800,1851
18510821,70,800,1851
18510822,90,800,1851
18510823,100,800,1851
18510824,90,800,1851
18510825,40,800,1851
18510826,40,800,1851
18510827,40,800,1851
18510913,50,800,1851
18510914,50,800,1851
18510915,50,800,1851
18510916,50,800,1851
18511016,50,800,1851
18511017,60,800,1851
18511018,60,800,1851
18511019,50,800,1851
18520819,60,800,1852
18520820,70,800,1852
18520821,80,800,1852
18520822,90,800,1852
18520823,90,800,1852
18520824,100,800,1852
18520825,100,800,1852
18520826,100,961,1852
18520827,50,800,1852
18520828,40,800,1852
18520829,50,800,1852
18520830,50,800,1852
18520905,70,800,1852
18520906,60,800,1852
18520909,70,800,1852
18520910,70,800,1852
18520911,70,800,1852
18520912,70,800,1852
18520913,70,800,1852
18520922,50,800,1852
18520923,70,800,1852
18520924,70,800,1852
18520925,80,800,1852
18520926,80,800,1852
18520927,80,800,1852
18520928,80,800,1852
18520929,80,800,1852
18520930,70,800,1852
18521006,90,800,1852
18521007,90,800,1852
18521008,90,800,1852
18521009,90,800,1852
18521010,80,800,1852
18521011,60,800,1852
18530805,50,800,1853
18530810,40,800,1853
18530830,40,800,1853
18530831,60,800,1853
18530901,80,800,1853
18530902,110,800,1853
18530903,130,924,1853
18530904,120,800,1853
18530905,120,800,1853
18530906,120,800,1853
18530907,110,800,1853
18530908,100,800,1853
18530909,100,800,1853
18530910,100,800,1853
18530921,50,800,1853
18530926,50,800,1853
18530927,70,800,1853
18530928,70,800,1853
18530929,70,800,1853
18530930,70,800,1853
18531001,70,800,1853
18531019,80,800,1853
18531020,90,800,1853
18531021,90,800,1853
18531022,80,800,1853
18540625,70,800,1854
18540626,70,800,1854
18540627,40,800,1854
18540823,60,800,1854
18540907,110,938,1854
18540908,110,950,1854
18540909,80,800,1854
18540910,60,800,1854
18540911,90,800,1854
18540912,90,800,1854
18540918,90,800,1854
18540919,80,800,1854
18540920,50,800,1854
18541020,50,800,1854
18541021,60,800,1854
18541022,60,800,1854
18550806,90,800,1855
18550810,90,800,1855
18550811,90,800,1855
18550824,50,800,1855
18550825,60,800,1855
18550826,60,800,1855
18550827,50,997,1855
18550915,100,800,1855
18550916,110,800,1855
18550917,50,800,1855
18560809,100,800,1856
18560810,130,934,1856
18560811,110,800,1856
18560812,40,800,1856
18560813,70,800,1856
18560814,70,800,1856
18560819,50,800,1856
18560820,50,800,1856
18560821,50,800,1856
18560825,70,800,1856
18560826,80,800,1856
18560827,90,800,1856
18560828,90,969,1856
18560829,90,800,1856
18560830,100,800,1856
18560831,90,800,1856
18560901,50,800,1856
18560902,50,800,1856
18560903,50,800,1856
18560918,50,800,1856
18560919,70,800,1856
18560920,70,800,1856
18560921,60,800,1856
18560922,60,800,1856
18570630,50,800,1857
18570701,50,800,1857
18570906,40,800,1857
18570907,50,800,1857
18570908,60,800,1857
18570909,70,800,1857
18570910,80,800,1857
18570911,90,800,1857
18570912,90,961,1857
18570913,90,800,1857
18570914,60,800,1857
18570915,80,800,1857
18570916,80,800,1857
18570917,80,800,1857
18570918,40,800,1857
18570922,70,800,1857
18570923,70,800,1857
18570924,70,800,1857
18570925,70,800,1857
18570926,70,800,1857
18570927,80,800,1857
18570928,90,800,1857
18570929,70,800,1857
18570930,50,800,1857
18580612,70,800,1858
18580805,70,800,1858
18580914,60,800,1858
18580915,90,800,1858
18580916,90,979,1858
18580917,80,800,1858
18580918,80,800,1858
18580919,80,800,1858
18580920,80,800,1858
18580921,80,800,1858
18580922,80,800,1858
18580923,80,800,1858
18580924,80,800,1858
18580925,80,800,1858
18581021,60,800,1858
18581022,70,800,1858
18581023,80,800,1858
18581024,90,800,1858
18581025,80,800,1858
18581026,60,800,1858
18590701,90,800,1859
18590817,90,800,1859
18590818,90,800,1859
18590819,90,800,1859
18590902,70,800,1859
18590903,70,800,1859
18590912,90,800,1859
18590913,80,800,1859
18590915,70,800,1859
18590916,70,800,1859
18590917,60,800,1859
18590918,70,800,1859
18591002,80,800,1859
18591003,90,800,1859
18591004,110,800,1859
18591005,110,800,1859
18591006,110,938,1859
18591016,60,800,1859
18591017,60,800,1859
18591018,40,800,1859
18591024,40,800,1859
18591025,50,800,1859
18591026,80,800,1859
18591027,80,800,1859
18591028,80,800,1859
18591029,70,989,1859
18600808,50,800,1860
18600809,70,800,1860
18600810,90,800,1860
18600811,110,800,1860
18600812,100,800,1860
18600813,40,800,1860
18600814,50,800,1860
18600815,50,800,1860
18600816,50,800,1860
18600824,70,800,1860
18600825,90,800,1860
18600826,80,800,1860
18600911,90,800,1860
18600912,90,800,1860
18600913,90,800,1860
18600914,90,800,1860
18600915,90,800,1860
18600916,50,800,1860
18600918,40,800,1860
18600919,60,800,1860
18600920,60,800,1860
18600921,60,800,1860
18600930,60,800,1860
18601001,80,800,1860
18601002,90,800,1860
18601003,60,800,1860
18601020,70,800,1860
18601021,80,800,1860
18601022,80,800,1860
18601023,90,800,1860
18601024,70,800,1860
18610706,50,800,1861
18610707,50,800,1861
18610708,50,800,1861
18610709,70,800,1861
