hdate,hwind,hpres,hyear
19490611,45,800,1949
19490612,45,800,1949
19490617,45,800,1949
19490618,45,800,1949
19490619,45,800,1949
19490620,45,800,1949
19490621,45,800,1949
19490622,45,800,1949
19490623,45,800,1949
19490903,45,800,1949
19490904,45,800,1949
19490905,45,800,1949
19490906,45,800,1949
19490907,45,800,1949
19490908,45,800,1949
19490909,75,800,1949
19490910,75,800,1949
19490911,75,800,1949
19490917,45,800,1949
19490918,45,800,1949
19490919,45,800,1949
19490929,75,800,1949
19490930,45,800,1949
19500614,75,800,1950
19500615,75,800,1950
19500616,75,800,1950
19500617,75,800,1950
19500618,75,800,1950
19500619,75,800,1950
19500703,75,800,1950
19500704,75,800,1950
19500705,75,800,1950
19500706,75,800,1950
19500709,75,800,1950
19500710,75,800,1950
19500711,75,800,1950
19500712,75,800,1950
19500812,45,800,1950
19500813,45,800,1950
19500814,45,800,1950
19500815,45,800,1950
19500816,75,800,1950
19500817,75,800,1950
19500818,75,800,1950
19500819,75,800,1950
19500820,45,800,1950
19500821,45,800,1950
19500826,75,800,1950
19500827,75,800,1950
19500828,75,800,1950
19500829,75,800,1950
19500830,75,800,1950
19501001,75,800,1950
19501002,75,800,1950
19501003,75,800,1950
19510517,45,800,1951
19510518,45,800,1951
19510519,45,800,1951
19510520,45,800,1951
19510521,45,800,1951
19510601,75,800,1951
19510602,75,800,1951
19510626,45,800,1951
19510627,45,800,1951
19510705,45,800,1951
19510706,45,800,1951
19510803,45,800,1951
19510804,45,800,1951
19510805,45,800,1951
19510806,45,800,1951
19510807,45,800,1951
19510808,45,800,1951
19510809,45,800,1951
19510810,45,800,1951
19510824,45,800,1951
19510825,45,800,1951
19510826,45,800,1951
19510827,45,800,1951
19510828,45,800,1951
19510829,45,800,1951
19510911,45,800,1951
19510912,45,800,1951
19510913,45,800,1951
19510914,45,800,1951
19510915,45,800,1951
19510923,75,800,1951
19510924,75,800,1951
19510925,75,800,1951
19510926,75,800,1951
19510927,75,800,1951
19510928,75,800,1951
19511127,45,800,1951
19511128,45,800,1951
19511129,45,800,1951
19511130,45,800,1951
19520529,45,800,1952
19520530,45,800,1952
19520531,45,800,1952
19520612,45,800,1952
19520613,45,800,1952
19520614,45,800,1952
19520615,45,800,1952
19520616,45,800,1952
19520719,45,800,1952
19520720,45,800,1952
19520721,45,800,1952
19520724,75,800,1952
19520725,75,800,1952
19520726,75,800,1952
19520727,75,800,1952
19520915,75,800,1952
19520916,75,800,1952
19520917,75,800,1952
19520918,75,800,1952
19520919,75,800,1952
19520920,75,800,1952
19520921,45,800,1952
19520922,45,800,1952
19520926,45,800,1952
19520927,45,800,1952
19520928,45,800,1952
19521013,75,800,1952
19521014,75,800,1952
19521015,75,800,1952
19530825,45,800,1953
19530826,45,800,1953
19530827,45,800,1953
19530909,45,800,1953
19530910,45,800,1953
19530914,75,800,1953
19530915,75,800,1953
19530916,75,800,1953
19530917,75,800,1953
19531002,75,800,1953
19531003,75,800,1953
19531004,75,800,1953
19531005,75,800,1953
